LOT_NO,작업일,작업일_최신,양품수량,불량수량,총수량,불량률,건조로_온도_1_Zone_mean,건조로_온도_1_Zone_std,건조로_온도_1_Zone_max,건조로_온도_1_Zone_min,건조로_온도_1_Zone_range,건조로_온도_2_Zone_mean,건조로_온도_2_Zone_std,건조로_온도_2_Zone_max,건조로_온도_2_Zone_min,건조로_온도_2_Zone_range,소입로_온도_1_Zone_mean,소입로_온도_1_Zone_std,소입로_온도_1_Zone_max,소입로_온도_1_Zone_min,소입로_온도_1_Zone_range,소입로_온도_2_Zone_mean,소입로_온도_2_Zone_std,소입로_온도_2_Zone_max,소입로_온도_2_Zone_min,소입로_온도_2_Zone_range,소입로_온도_3_Zone_mean,소입로_온도_3_Zone_std,소입로_온도_3_Zone_max,소입로_온도_3_Zone_min,소입로_온도_3_Zone_range,소입로_온도_4_Zone_mean,소입로_온도_4_Zone_std,소입로_온도_4_Zone_max,소입로_온도_4_Zone_min,소입로_온도_4_Zone_range,소입로_CP_값_mean,소입로_CP_값_std,소입로_CP_값_max,소입로_CP_값_min,소입로_CP_값_range,솔트조_온도_1_Zone_mean,솔트조_온도_1_Zone_std,솔트조_온도_1_Zone_max,솔트조_온도_1_Zone_min,솔트조_온도_1_Zone_range,솔트조_온도_2_Zone_mean,솔트조_온도_2_Zone_std,솔트조_온도_2_Zone_max,솔트조_온도_2_Zone_min,솔트조_온도_2_Zone_range,솔트_컨베이어_온도_1_Zone_mean,솔트_컨베이어_온도_1_Zone_std,솔트_컨베이어_온도_2_Zone_mean,솔트_컨베이어_온도_2_Zone_std,세정기_mean,세정기_std
HZE06,2022-05-16,2022-05-18 23:15:29,90490.0,42.0,90532.0,0.0004639243582379711,99.99875671316663,0.5028567119260159,101.6405260570848,98.36922593889452,3.2713001181902572,100.01748062649763,0.3517398559105925,101.042148190695,98.84013329430478,2.2020148963902284,859.0204930162865,4.180224045125105,871.5104333053505,848.7387392082356,22.771694097114857,859.9905992106073,0.639987652230386,861.8267836676536,858.0165367604825,3.8102469071709506,859.995769336935,0.38736558915322183,860.9885576260327,858.9571063159988,2.031451310034025,859.9918985652079,0.3577844335152054,861.1738660584103,858.8362648234878,2.3376012349224675,0.4499496270394622,0.005237559631576224,0.48089384867229273,0.4218908014072373,0.05900304726505541,332.20472838651307,0.11996699578182715,332.59992550700304,331.8965311878673,0.7033943191357833,332.53938405234106,0.13371238274270542,332.85393329430474,332.24112548049305,0.6128078138116905,284.6827741551814,9.538482343071411,280.55964034721586,6.666816777904337,69.77150816334128,0.5682146798885382
HZG02,2022-07-12,2022-07-14 05:51:08,60201.0,32.0,60233.0,0.0005312702339249249,100.03964913738683,0.415254802140332,101.77715539654344,98.85677842710807,2.920376969435355,100.10943280368397,0.3232512867403811,101.47806126209883,99.36606690352465,2.111994358574209,859.2445073821176,2.7515107985699863,870.4495444523766,852.3301884515132,18.11935600086332,859.9875787741793,0.46178135608603044,861.8059790812346,858.4654054920061,3.3405735892284594,859.9996813066523,0.2960644025130078,860.7641038467286,859.0044772134876,1.7596266332409172,860.001393290352,0.41617235600685526,861.1620739627779,858.505664735278,2.6564092274998696,0.45016179703369685,0.003555570302041558,0.47160780070725344,0.43129377251672674,0.0403140281905268,332.26032063478584,0.12300875517287105,332.56754370527784,331.8564884199691,0.7110552853087021,332.218020869546,0.17375193426012883,332.5305414639816,331.742527269105,0.7880141948765736,284.96606777209337,9.500784936273245,280.6812223323713,6.768418387380881,69.23196888658315,1.273786363167595
HZD04,2022-04-07,2022-04-09 03:08:08,89620.0,58.0,89678.0,0.0006467584022837262,100.00555069108843,0.48325708398194916,101.81847747496599,98.19575251232187,3.622724962644126,99.9925651419704,0.4963216975067413,101.41508538326009,98.0283281161489,3.386757267111218,859.0078018737282,3.9637027161639673,875.158717098954,845.9255006802116,29.23321641874259,860.0060729463848,0.5864857323279297,862.1242020450946,857.2603608131313,4.863841231963233,860.0105323294542,0.3568241539778599,861.3607824104017,858.7326940832756,2.6280883271259583,860.0085838192774,0.3063706664779627,861.3545896094917,858.7848144806976,2.5697751287941344,0.450180664746779,0.0030901883072558417,0.4705315475032895,0.43549803346417176,0.035033514039117745,332.09477883428895,0.14291080490912683,332.5132874283548,331.5780661031691,0.9352213251856777,332.43086754515025,0.13710759059354335,332.69923785097797,332.0246492227748,0.6745886282031082,284.5574824025366,9.659209455077185,280.14401418652267,6.925145619772815,67.07744281591387,0.5422965006784829
HYM30,2022-01-03,2022-01-03 13:27:03,15160.0,3.0,15163.0,0.00019785002967750444,99.94345982288827,0.5939714167347511,101.755,97.8385,3.916499999999999,100.06189551089918,0.48351777349656105,101.247,98.4388,2.8081999999999994,859.4867857629429,3.574274467151311,870.536,847.607,22.928999999999974,860.0124179155314,0.4006970158195453,861.258,858.883,2.375,860.0097472752044,0.2816606319097362,860.889,859.352,1.5370000000000346,860.0106226839237,0.5534941554492269,862.014,858.474,3.5399999999999636,0.45050503262942776,0.005897483925584699,0.505652,0.430979,0.07467299999999999,329.0159786103542,0.12271083124521495,329.29300000000006,328.65899999999993,0.6340000000000146,329.07049448228884,0.11650939576062917,329.3,328.805,0.49500000000000455,282.5796576975477,9.371322857899825,280.150049386921,6.0340286197664295,69.60287676430518,0.84530236832001
HZF06,2022-06-16,2022-06-17 10:54:01,75829.0,66.0,75895.0,0.0008696225047763358,100.00764660656678,0.3063792738506147,101.367,98.5605,2.8064999999999998,100.00090628335393,0.20878964596527683,100.954,98.8526,2.101399999999998,858.824007492387,3.0935668817107205,872.961,847.832,25.12900000000002,859.9997732083094,0.5146715225834242,861.698,856.76,4.937999999999988,860.0012717460125,0.31223745445896434,861.177,858.772,2.4049999999999727,859.9982869418398,0.29610738794887353,861.187,858.732,2.455000000000041,0.4501346133053939,0.0032170433358077125,0.477732,0.43397299999999994,0.04375899999999999,332.07780260499896,0.1257071069346295,332.453,331.606,0.84699999999998,332.6397659872765,0.13507649739201688,333.127,332.295,0.8319999999999936,284.49550382910724,9.247082839881166,280.2499395483462,6.787101300473561,68.78039338197605,0.3882195087385544
HZG15,2022-07-12,2022-07-14 01:51:12,44732.0,5.0,44737.0,0.00011176431142007734,99.99823105222553,0.3200281911830927,101.66020575809732,98.45039602566109,3.209809732436247,100.03684759469749,0.34307383004204,101.57288144041843,98.6775359992847,2.8953454411337325,859.9937090020198,1.7927121474760803,870.4470425822026,852.4941260254375,17.952916556765143,860.0147933276879,0.3287374636347132,862.0859910812078,858.4332871895746,3.652703891633333,859.9968672932765,0.24110874896561404,860.8239545342781,859.0580411516194,1.7659133826586693,860.0018691409485,0.26581972443040125,861.2838132418357,858.6542765496123,2.62953669222338,0.4500277025525306,0.002943738146684545,0.46750214504772336,0.43370578619487227,0.03379635885285113,331.9193607377196,0.26480853777545277,332.57980834655876,331.49002273286095,1.089785613697836,331.72050892212184,0.3943387992954749,332.4771211525136,331.1864998547064,1.290621297807185,284.54265255611847,9.316660207624597,279.98233084244777,6.657633796006578,68.70269548431769,0.9942953514076623
HZA06,2022-01-10,2022-01-11 00:50:31,104740.0,21.0,104761.0,0.00020045627666784394,99.9979243610275,0.3837126948147748,101.969,97.8595,4.109499999999997,100.01535735058611,0.26469590131639265,101.408,98.73729999999999,2.6706999999999965,859.245467056705,2.4918208311107093,871.001,850.381,20.620000000000005,860.002372205496,0.3835450550277548,861.385,858.075,3.3099999999999454,860.0039132840803,0.2694271163258279,860.852,858.608,2.244000000000028,860.0027928962129,0.31406541753022554,861.77,858.347,3.4230000000000014,0.4532106055147594,0.029675417166415696,0.909111,0.418617,0.490494,329.1465974775621,0.13108985016285493,329.659,328.704,0.9549999999999841,329.47062797599983,0.12221271970048479,329.844,329.083,0.7609999999999673,283.0334749891458,9.326360344638873,279.2991568247054,6.378336908291476,66.08238533619456,1.4429924983211841
HZC14,2022-03-28,2022-03-29 20:19:51,89706.0,19.0,89725.0,0.0002117581499024798,100.00422376926846,0.42217382547951715,101.97916178322652,98.00015300975203,3.9790087734744963,100.01745187990696,0.3171767052080316,101.49866045137922,98.39479685929228,3.103863592086935,858.1994589385514,4.368701340467567,874.5996796544998,845.7339361939258,28.865743460574034,859.9866766260618,0.6608786812667485,862.1179893452215,857.4090971524101,4.708892192811285,859.9969302654514,0.381073313146257,861.0106611535247,858.802098556701,2.2085625968236995,859.9934457784614,0.32026238748347424,861.0955253050989,858.9384141320703,2.1571111730286963,0.45037129742127086,0.004504846767741715,0.48843765788799115,0.42680396735580933,0.061633690532181686,332.05126508865357,0.12923517548332134,332.4657449874617,331.6547742881026,0.81097069935916,332.6201096457639,0.08937988813460901,332.8850685539147,332.39016374477575,0.4949048091390539,283.8005952306128,9.635255387262177,279.7656496004549,6.243130751661816,67.10340058790416,0.35325809391697627
HZD06,2022-04-11,2022-04-14 01:51:26,59793.0,54.0,59847.0,0.000902300867211389,100.0232410186104,0.38960124279835806,101.94608657075543,98.81371785051883,3.132368720236602,100.01832281164609,0.3454059387152112,101.38754935084465,98.58795974735575,2.7995896034888985,859.3534562294565,3.9113774854060357,873.2582806656975,847.558227530202,25.700053135495477,860.0061762905378,0.5081042158912239,861.7263019700237,858.1024616772771,3.6238402927464475,860.0012989227462,0.3085148352876573,860.9142881848715,859.1401729409995,1.7741152438719026,860.0083091145742,0.2921061666799625,861.2527261516868,859.1884423780641,2.064283773622782,0.4491784066291305,0.00781779414595242,0.4775569978946313,0.39305013850318304,0.08450685939144818,332.0037531635466,0.13311427397722175,332.5046914131034,331.6262060253647,0.8784853877387078,332.4727621980215,0.1484674958817955,332.86445892024665,332.0509575417314,0.813501378515247,283.9318525409885,9.584797629684559,280.39071708357545,6.330877865546758,68.86935509953733,0.5170032096136105
HZB10,2022-03-01,2022-03-01 14:41:08,30019.0,6.0,30025.0,0.00019983347210657785,100.00055952694278,0.43047952190633293,101.817,98.1054,3.71159999999999,99.98149320543011,0.3690371929972728,101.419,98.3714,3.047600000000003,859.7583475896939,3.05692143456794,871.81,849.054,22.755999999999975,860.0158109502701,0.4122793323965054,861.269,858.446,2.822999999999979,859.999657916609,0.21287069683255316,860.734,859.369,1.3650000000000093,860.0011221429561,0.3550417173621575,861.261,858.79,2.4710000000000036,0.45022901825045025,0.0030110600058560135,0.467278,0.434224,0.03305400000000003,331.93123424296994,0.0932977606395255,332.292,331.657,0.6349999999999909,332.4714390497299,0.07821261176170778,332.683,332.235,0.4479999999999791,283.3676479429284,9.564307146121811,279.7368506718382,6.50699114677746,66.65086685829061,0.42000813767499245
